,index,time,value,value_list,status,rep,protocol,number,decimal
914,1418,1705345212437543500,send_rep_1_p_5_s_100,"['send', 'rep', '1', 'p', '5', 's', '100']",send,1,5,100,
915,1419,1705345212953617900,send_rep_1_p_5_s_111,"['send', 'rep', '1', 'p', '5', 's', '111']",send,1,5,111,
916,1420,1705345213486141000,send_rep_1_p_6_s_00100101100010010110,"['send', 'rep', '1', 'p', '6', 's', '00100101100010010110']",send,1,6,00100101100010010110,
917,1421,1705345214038420300,send_rep_1_p_6_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '6', 's', '01000001011001000110000101101101']",send,1,6,01000001011001000110000101101101,
918,1422,1705345214563118100,send_rep_1_p_6_s_100,"['send', 'rep', '1', 'p', '6', 's', '100']",send,1,6,100,
919,1423,1705345215079873900,send_rep_1_p_6_s_111,"['send', 'rep', '1', 'p', '6', 's', '111']",send,1,6,111,
920,1424,1705345215612475100,send_rep_1_p_7_s_00100101100010010110,"['send', 'rep', '1', 'p', '7', 's', '00100101100010010110']",send,1,7,00100101100010010110,
921,1425,1705345216156201400,send_rep_1_p_7_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '7', 's', '01000001011001000110000101101101']",send,1,7,01000001011001000110000101101101,
922,1426,1705345216673168000,send_rep_1_p_7_s_100,"['send', 'rep', '1', 'p', '7', 's', '100']",send,1,7,100,
923,1427,1705345217184247800,send_rep_1_p_7_s_111,"['send', 'rep', '1', 'p', '7', 's', '111']",send,1,7,111,
924,1428,1705345217716802800,send_rep_1_p_8_s_00100101100010010110,"['send', 'rep', '1', 'p', '8', 's', '00100101100010010110']",send,1,8,00100101100010010110,
925,1429,1705345218327253900,send_rep_1_p_8_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '8', 's', '01000001011001000110000101101101']",send,1,8,01000001011001000110000101101101,
