,index,time,value,value_list,status,rep,protocol,number,decimal
793,1241,1705345137212061700,rec_dec_153750_bin_00100101100010010110_p_5,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '5']",rec,9,5,00100101100010010110,153750
794,1242,1705345137756289700,send_rep_9_p_5_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '5', 's', '01000001011001000110000101101101']",send,9,5,01000001011001000110000101101101,
795,1243,1705345137888515000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '5']",rec,9,5,01000001011001000110000101101101,1097097581
796,1244,1705345138006172000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '5']",rec,9,5,01000001011001000110000101101101,1097097581
797,1245,1705345138125545100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_3,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '3']",rec,9,3,01000001011001000110000101101101,1097097581
798,1246,1705345138244733900,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '5']",rec,9,5,01000001011001000110000101101101,1097097581
799,1247,1705345138760024000,send_rep_9_p_5_s_100,"['send', 'rep', '9', 'p', '5', 's', '100']",send,9,5,100,
800,1248,1705345138792736500,rec_dec_4_bin_100_p_5,"['rec', 'dec', '4', 'bin', '100', 'p', '5']",rec,9,5,100,4
801,1249,1705345138821936800,rec_dec_4_bin_100_p_5,"['rec', 'dec', '4', 'bin', '100', 'p', '5']",rec,9,5,100,4
802,1250,1705345138879408700,rec_dec_4_bin_100_p_5,"['rec', 'dec', '4', 'bin', '100', 'p', '5']",rec,9,5,100,4
803,1251,1705345139394959200,send_rep_9_p_5_s_111,"['send', 'rep', '9', 'p', '5', 's', '111']",send,9,5,111,
804,1252,1705345139441272400,rec_dec_7_bin_111_p_5,"['rec', 'dec', '7', 'bin', '111', 'p', '5']",rec,9,5,111,7
805,1253,1705345139469499000,rec_dec_7_bin_111_p_5,"['rec', 'dec', '7', 'bin', '111', 'p', '5']",rec,9,5,111,7
806,1254,1705345139498266200,rec_dec_7_bin_111_p_5,"['rec', 'dec', '7', 'bin', '111', 'p', '5']",rec,9,5,111,7
807,1255,1705345140042500400,send_rep_9_p_6_s_00100101100010010110,"['send', 'rep', '9', 'p', '6', 's', '00100101100010010110']",send,9,6,00100101100010010110,
808,1256,1705345140128902600,rec_dec_153750_bin_00100101100010010110_p_6,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '6']",rec,9,6,00100101100010010110,153750
809,1257,1705345140202830800,rec_dec_153750_bin_00100101100010010110_p_6,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '6']",rec,9,6,00100101100010010110,153750
810,1258,1705345140280202300,rec_dec_153750_bin_00100101100010010110_p_6,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '6']",rec,9,6,00100101100010010110,153750
811,1259,1705345140358200600,rec_dec_153750_bin_00100101100010010110_p_6,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '6']",rec,9,6,00100101100010010110,153750
