time,value
1705330612304205900,"send_rep_2_p_2_s_01000001011001000110000101101101"
1705330612918691900,"send_rep_2_p_2_s_100"
1705330613443063000,"send_rep_2_p_2_s_111"
1705330613987327900,"send_rep_2_p_3_s_00100101100010010110"
1705330614581156800,"send_rep_2_p_3_s_01000001011001000110000101101101"
1705330615171652800,"send_rep_2_p_3_s_100"
1705330615703834700,"send_rep_2_p_3_s_111"
1705330616248206700,"send_rep_2_p_4_s_00100101100010010110"
1705330616830758200,"send_rep_2_p_4_s_01000001011001000110000101101101"
1705330617404262300,"send_rep_2_p_4_s_100"
1705330617919755600,"send_rep_2_p_4_s_111"
1705330618452866900,"send_rep_2_p_5_s_00100101100010010110"
1705330619045829400,"send_rep_2_p_5_s_01000001011001000110000101101101"
1705330619636652200,"send_rep_2_p_5_s_100"
1705330620168293200,"send_rep_2_p_5_s_111"
1705330620713684400,"send_rep_2_p_6_s_00100101100010010110"
1705330621303521400,"send_rep_2_p_6_s_01000001011001000110000101101101"
1705330621885408700,"send_rep_2_p_6_s_100"
1705330622417567100,"send_rep_2_p_6_s_111"
1705330622965991900,"send_rep_2_p_7_s_00100101100010010110"
1705330623539210800,"send_rep_2_p_7_s_01000001011001000110000101101101"
1705330624100486200,"send_rep_2_p_7_s_100"
1705330624624209100,"send_rep_2_p_7_s_111"
1705330625169770400,"send_rep_2_p_8_s_00100101100010010110"
1705330625875076700,"send_rep_2_p_8_s_01000001011001000110000101101101"
1705330626645071100,"send_rep_2_p_8_s_100"
1705330627192625200,"send_rep_2_p_8_s_111"
1705330627755174200,"send_rep_2_p_9_s_00100101100010010110"
1705330628462244900,"send_rep_2_p_9_s_01000001011001000110000101101101"
1705330629232526900,"send_rep_2_p_9_s_100"
1705330629782823300,"send_rep_2_p_9_s_111"
1705330630343333700,"send_rep_2_p_10_s_00100101100010010110"
1705330630932750600,"send_rep_2_p_10_s_01000001011001000110000101101101"
1705330631510462000,"send_rep_2_p_10_s_100"
1705330632035371400,"send_rep_2_p_10_s_111"
1705330632575955100,"send_rep_2_p_11_s_00100101100010010110"
1705330633145481500,"send_rep_2_p_11_s_01000001011001000110000101101101"
1705330633689330400,"send_rep_2_p_11_s_100"
1705330634214067800,"send_rep_2_p_11_s_111"
1705330634758827300,"send_rep_2_p_12_s_00100101100010010110"
1705330635333089700,"send_rep_2_p_12_s_01000001011001000110000101101101"
1705330635894148200,"send_rep_2_p_12_s_100"
1705330636422472000,"send_rep_2_p_12_s_111"
1705330636971162300,"send_rep_2_p_13_s_00100101100010010110"
1705330637495854900,"send_rep_2_p_13_s_01000001011001000110000101101101"
1705330637983145500,"send_rep_2_p_13_s_100"
1705330638486258600,"send_rep_2_p_13_s_111"
1705330639006409700,"send_rep_2_p_14_s_00100101100010010110"
1705330639543662000,"send_rep_2_p_14_s_01000001011001000110000101101101"
1705330640047624800,"send_rep_2_p_14_s_100"
1705330640551592200,"send_rep_2_p_14_s_111"
1705330641074892600,"send_rep_2_p_15_s_00100101100010010110"
1705330641611760200,"send_rep_2_p_15_s_01000001011001000110000101101101"
1705330642116275600,"send_rep_2_p_15_s_100"
1705330642622637200,"send_rep_2_p_15_s_111"
1705330643143627100,"send_rep_2_p_16_s_00100101100010010110"
1705330643704495800,"send_rep_2_p_16_s_01000001011001000110000101101101"
1705330644246128600,"send_rep_2_p_16_s_100"
1705330644757950200,"send_rep_2_p_16_s_111"
1705330645282403200,"send_rep_2_p_17_s_00100101100010010110"
1705330645818380800,"send_rep_2_p_17_s_01000001011001000110000101101101"
1705330646326675300,"send_rep_2_p_17_s_100"
1705330646830719800,"send_rep_2_p_17_s_111"
1705330647355211400,"send_rep_2_p_18_s_00100101100010010110"
1705330647916101000,"send_rep_2_p_18_s_01000001011001000110000101101101"
1705330648456032100,"send_rep_2_p_18_s_100"
1705330648964777100,"send_rep_2_p_18_s_111"
1705330649493156400,"send_rep_2_p_19_s_00100101100010010110"
1705330650017015500,"send_rep_2_p_19_s_01000001011001000110000101101101"
1705330650509280600,"send_rep_2_p_19_s_100"
1705330651008500300,"send_rep_2_p_19_s_111"
1705330651528491000,"send_rep_2_p_20_s_00100101100010010110"
1705330652065493600,"send_rep_2_p_20_s_01000001011001000110000101101101"
1705330652569571200,"send_rep_2_p_20_s_100"
1705330653076481300,"send_rep_2_p_20_s_111"
1705330653597540000,"send_rep_2_p_21_s_00100101100010010110"
1705330654133564700,"send_rep_2_p_21_s_01000001011001000110000101101101"
1705330654640766500,"send_rep_2_p_21_s_100"
1705330655145723800,"send_rep_2_p_21_s_111"
1705330655670302900,"send_rep_2_p_22_s_00100101100010010110"
1705330656227083000,"send_rep_2_p_22_s_01000001011001000110000101101101"
1705330656767648800,"send_rep_2_p_22_s_100"
1705330657279909800,"send_rep_2_p_22_s_111"
1705330657808039300,"send_rep_2_p_23_s_00100101100010010110"
1705330658344866600,"send_rep_2_p_23_s_01000001011001000110000101101101"
1705330658848727400,"send_rep_2_p_23_s_100"
1705330659356725400,"send_rep_2_p_23_s_111"
1705330659880765600,"send_rep_2_p_24_s_00100101100010010110"
1705330660438320500,"send_rep_2_p_24_s_01000001011001000110000101101101"
1705330660979024600,"send_rep_2_p_24_s_100"
1705330661490936600,"send_rep_2_p_24_s_111"
1705330662019248100,"send_rep_2_p_25_s_00100101100010010110"
1705330662555648700,"send_rep_2_p_25_s_01000001011001000110000101101101"
1705330663067760400,"send_rep_2_p_25_s_100"
1705330663575671000,"send_rep_2_p_25_s_111"
1705330664104001300,"send_rep_2_p_26_s_00100101100010010110"
1705330664668313200,"send_rep_2_p_26_s_01000001011001000110000101101101"
1705330665218323300,"send_rep_2_p_26_s_100"
1705330665734415500,"send_rep_2_p_26_s_111"
1705330666266113800,"send_rep_3_p_1_s_00100101100010010110"
1705330666901954400,"send_rep_3_p_1_s_01000001011001000110000101101101"
1705330667544317000,"send_rep_3_p_1_s_100"
1705330668089334000,"send_rep_3_p_1_s_111"
1705330668654371900,"send_rep_3_p_2_s_00100101100010010110"
1705330669309847800,"send_rep_3_p_2_s_01000001011001000110000101101101"
1705330669994535000,"send_rep_3_p_2_s_100"
1705330670530618900,"send_rep_3_p_2_s_111"
1705330671092021700,"send_rep_3_p_3_s_00100101100010010110"
1705330671727267700,"send_rep_3_p_3_s_01000001011001000110000101101101"
1705330672374573700,"send_rep_3_p_3_s_100"
1705330672918925500,"send_rep_3_p_3_s_111"
1705330673480393900,"send_rep_3_p_4_s_00100101100010010110"
1705330674094049100,"send_rep_3_p_4_s_01000001011001000110000101101101"
1705330674724860100,"send_rep_3_p_4_s_100"
1705330675245537100,"send_rep_3_p_4_s_111"
