time,value
1705346637307038000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7
1705346637397037400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7
1705346638515576600,rec_dec_7_bin_111_p_1
1705346646056331900,rec_dec_153750_bin_00100101100010010110_p_10
1705346646130853800,rec_dec_153750_bin_00100101100010010110_p_10
1705346646793949000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346646905198800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346648010417700,rec_dec_7_bin_111_p_10
1705346648035413500,rec_dec_7_bin_111_p_10
1705346648613064800,rec_dec_153750_bin_00100101100010010110_p_11
1705346648666555700,rec_dec_153750_bin_00100101100010010110_p_11
1705346649284825100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346649358690800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346651066674200,rec_dec_153750_bin_00100101100010010110_p_11
1705346651767520400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346651853321100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346652975274100,rec_dec_6_bin_000000110_p_5
1705346684808873300,rec_dec_153750_bin_00100101100010010110_p_1
1705346684886259600,rec_dec_153750_bin_00100101100010010110_p_1
1705346685599363400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346685714362600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346686942725900,rec_dec_7_bin_111_p_1
1705346687594046400,rec_dec_153750_bin_00100101100010010110_p_2
1705346687684436400,rec_dec_153750_bin_00100101100010010110_p_2
1705346688437877100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346688581798300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346689236339100,rec_dec_4_bin_100_p_2
1705346689789542100,rec_dec_7_bin_111_p_2
1705346689814482900,rec_dec_7_bin_111_p_2
1705346690444880300,rec_dec_153750_bin_00100101100010010110_p_5
1705346690526883000,rec_dec_153750_bin_00100101100010010110_p_5
1705346691243760400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346691362762300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346691972814200,rec_dec_4_bin_100_p_3
1705346692001441900,rec_dec_4_bin_100_p_3
1705346692575606100,rec_dec_7_bin_111_p_3
1705346692604601200,rec_dec_7_bin_111_p_3
1705346695831497800,rec_dec_153750_bin_00100101100010010110_p_5
1705346695913497900,rec_dec_153750_bin_00100101100010010110_p_5
1705346696630658300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346696749675200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346697372880800,rec_dec_4_bin_100_p_5
1705346697400802200,rec_dec_4_bin_100_p_5
1705346697945777400,rec_dec_7_bin_111_p_5
1705346697974777900,rec_dec_7_bin_111_p_5
1705346698604776100,rec_dec_153750_bin_00100101100010010110_p_6
1705346698682775200,rec_dec_153750_bin_00100101100010010110_p_6
1705346698757076900,rec_dec_153750_bin_00100101100010010110_p_6
1705346699387650000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6
1705346699494601600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6
1705346699604643600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6
1705346701333554300,rec_dec_153750_bin_00100101100010010110_p_7
1705346701394552600,rec_dec_153750_bin_00100101100010010110_p_7
1705346702066141200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7
1705346702153142600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7
1705346703344439100,rec_dec_7_bin_111_p_1
1705346711467415900,rec_dec_153750_bin_00100101100010010110_p_10
1705346711541414800,rec_dec_153750_bin_00100101100010010110_p_10
1705346711615417900,rec_dec_153750_bin_00100101100010010110_p_10
1705346712242367600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346712352408300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346712463239100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346712991221400,rec_dec_4_bin_100_p_10
1705346713516131500,rec_dec_7_bin_111_p_10
1705346713540137500,rec_dec_7_bin_111_p_10
1705346713564659200,rec_dec_7_bin_111_p_10
1705346714138695900,rec_dec_153750_bin_00100101100010010110_p_11
1705346714191699900,rec_dec_153750_bin_00100101100010010110_p_11
1705346714245703100,rec_dec_153750_bin_00100101100010010110_p_11
1705346714835607500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346714908603800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346714982571100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346716682186600,rec_dec_153750_bin_00100101100010010110_p_11
1705346716748187900,rec_dec_153750_bin_00100101100010010110_p_11
1705346716809532200,rec_dec_153750_bin_00100101100010010110_p_11
1705346717416041100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346717588235700,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346751157356800,rec_dec_153750_bin_00100101100010010110_p_1
1705346751239358500,rec_dec_153750_bin_00100101100010010110_p_1
1705346751317402400,rec_dec_153750_bin_00100101100010010110_p_1
1705346751989425800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346752104001300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346752218910100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346753394351000,rec_dec_7_bin_111_p_1
1705346753423390300,rec_dec_7_bin_111_p_1
1705346754074260000,rec_dec_153750_bin_00100101100010010110_p_2
1705346754164259600,rec_dec_153750_bin_00100101100010010110_p_2
1705346754258299200,rec_dec_153750_bin_00100101100010010110_p_2
1705346754967540000,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346755106980200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346755250190100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346755807578100,rec_dec_4_bin_100_p_2
1705346755831579600,rec_dec_4_bin_100_p_2
1705346755860581600,rec_dec_4_bin_100_p_2
1705346756413023400,rec_dec_7_bin_111_p_2
1705346756438021200,rec_dec_7_bin_111_p_2
1705346757069162800,rec_dec_153750_bin_00100101100010010110_p_3
1705346757151124200,rec_dec_153750_bin_00100101100010010110_p_5
1705346757233124600,rec_dec_153750_bin_00100101100010010110_p_5
1705346757908331100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346758027293500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346758146341700,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346758711106700,rec_dec_4_bin_100_p_3
1705346758740109000,rec_dec_4_bin_100_p_3
1705346759301105800,rec_dec_7_bin_111_p_3
1705346759330105100,rec_dec_7_bin_111_p_3
