time,value
1705346451079052500,send_rep_2_p_4_s_100
1705346451594651500,send_rep_2_p_4_s_111
1705346452126673300,send_rep_2_p_5_s_00100101100010010110
1705346452721699200,send_rep_2_p_5_s_01000001011001000110000101101101
1705346453310883300,send_rep_2_p_5_s_100
1705346453843564900,send_rep_2_p_5_s_111
1705346454388857800,send_rep_2_p_6_s_00100101100010010110
1705346454978731500,send_rep_2_p_6_s_01000001011001000110000101101101
1705346455560306300,send_rep_2_p_6_s_100
1705346456092459500,send_rep_2_p_6_s_111
1705346456636753000,send_rep_2_p_7_s_00100101100010010110
1705346457214443100,send_rep_2_p_7_s_01000001011001000110000101101101
1705346457776196100,send_rep_2_p_7_s_100
1705346458299614900,send_rep_2_p_7_s_111
1705346458845335600,send_rep_2_p_8_s_00100101100010010110
1705346459549775800,send_rep_2_p_8_s_01000001011001000110000101101101
1705346460319638400,send_rep_2_p_8_s_100
1705346460869013400,send_rep_2_p_8_s_111
1705346461429847500,send_rep_2_p_9_s_00100101100010010110
1705346462138408500,send_rep_2_p_9_s_01000001011001000110000101101101
1705346462908671100,send_rep_2_p_9_s_100
1705346463457544600,send_rep_2_p_9_s_111
1705346464017632100,send_rep_2_p_10_s_00100101100010010110
1705346464608219100,send_rep_2_p_10_s_01000001011001000110000101101101
1705346465186290800,send_rep_2_p_10_s_100
1705346465710197300,send_rep_2_p_10_s_111
1705346466251383400,send_rep_2_p_11_s_00100101100010010110
1705346466819682500,send_rep_2_p_11_s_01000001011001000110000101101101
1705346467365504700,send_rep_2_p_11_s_100
1705346467889754200,send_rep_2_p_11_s_111
1705346468433345400,send_rep_2_p_12_s_00100101100010010110
1705346469007811500,send_rep_2_p_12_s_01000001011001000110000101101101
1705346469568517800,send_rep_2_p_12_s_100
1705346470096775900,send_rep_2_p_12_s_111
1705346470646349700,send_rep_2_p_13_s_00100101100010010110
1705346471171029200,send_rep_2_p_13_s_01000001011001000110000101101101
1705346471658031300,send_rep_2_p_13_s_100
1705346472162275500,send_rep_2_p_13_s_111
1705346472681713700,send_rep_2_p_14_s_00100101100010010110
1705346473218184000,send_rep_2_p_14_s_01000001011001000110000101101101
1705346473721808500,send_rep_2_p_14_s_100
1705346474226118700,send_rep_2_p_14_s_111
1705346474751070000,send_rep_2_p_15_s_00100101100010010110
1705346475286424400,send_rep_2_p_15_s_01000001011001000110000101101101
1705346475790785700,send_rep_2_p_15_s_100
1705346476298809900,send_rep_2_p_15_s_111
1705346476819031900,send_rep_2_p_16_s_00100101100010010110
1705346477380475200,send_rep_2_p_16_s_01000001011001000110000101101101
1705346477921222500,send_rep_2_p_16_s_100
1705346478429173900,send_rep_2_p_16_s_111
1705346478957088600,send_rep_2_p_17_s_00100101100010010110
1705346479493727600,send_rep_2_p_17_s_01000001011001000110000101101101
1705346480001939600,send_rep_2_p_17_s_100
1705346480505601200,send_rep_2_p_17_s_111
1705346481029873700,send_rep_2_p_18_s_00100101100010010110
1705346481586492300,send_rep_2_p_18_s_01000001011001000110000101101101
1705346482132039300,send_rep_2_p_18_s_100
1705346482639923700,send_rep_2_p_18_s_111
1705346483168115800,send_rep_2_p_19_s_00100101100010010110
1705346483692322500,send_rep_2_p_19_s_01000001011001000110000101101101
1705346484183916600,send_rep_2_p_19_s_100
1705346484683201200,send_rep_2_p_19_s_111
1705346485203358200,send_rep_2_p_20_s_00100101100010010110
1705346485740522700,send_rep_2_p_20_s_01000001011001000110000101101101
1705346486243736500,send_rep_2_p_20_s_100
1705346486748081800,send_rep_2_p_20_s_111
1705346487272615200,send_rep_2_p_21_s_00100101100010010110
1705346487809269700,send_rep_2_p_21_s_01000001011001000110000101101101
1705346488315991100,send_rep_2_p_21_s_100
1705346488820123200,send_rep_2_p_21_s_111
1705346489345391700,send_rep_2_p_22_s_00100101100010010110
1705346489901571000,send_rep_2_p_22_s_01000001011001000110000101101101
1705346490442843700,send_rep_2_p_22_s_100
1705346490954834400,send_rep_2_p_22_s_111
1705346491483091000,send_rep_2_p_23_s_00100101100010010110
1705346492020008400,send_rep_2_p_23_s_01000001011001000110000101101101
1705346492523792300,send_rep_2_p_23_s_100
1705346493031424900,send_rep_2_p_23_s_111
1705346493551237800,send_rep_2_p_24_s_00100101100010010110
1705346494112760800,send_rep_2_p_24_s_01000001011001000110000101101101
1705346494653250600,send_rep_2_p_24_s_100
1705346495165425800,send_rep_2_p_24_s_111
1705346495693554400,send_rep_2_p_25_s_00100101100010010110
1705346496230978800,send_rep_2_p_25_s_01000001011001000110000101101101
1705346496743031600,send_rep_2_p_25_s_100
1705346497250933700,send_rep_2_p_25_s_111
1705346497779157100,send_rep_2_p_26_s_00100101100010010110
1705346498344051900,send_rep_2_p_26_s_01000001011001000110000101101101
1705346498893403900,send_rep_2_p_26_s_100
1705346499409495400,send_rep_2_p_26_s_111
1705346499942152800,send_rep_3_p_1_s_00100101100010010110
1705346500576985600,send_rep_3_p_1_s_01000001011001000110000101101101
1705346501218750700,send_rep_3_p_1_s_100
1705346501764569200,send_rep_3_p_1_s_111
1705346502329926400,send_rep_3_p_2_s_00100101100010010110
1705346502984783400,send_rep_3_p_2_s_01000001011001000110000101101101
1705346503665335400,send_rep_3_p_2_s_100
1705346504204983000,send_rep_3_p_2_s_111
1705346504762844500,send_rep_3_p_3_s_00100101100010010110
1705346505401647600,send_rep_3_p_3_s_01000001011001000110000101101101
1705346506049112300,send_rep_3_p_3_s_100
1705346506593550000,send_rep_3_p_3_s_111
1705346507155084000,send_rep_3_p_4_s_00100101100010010110
1705346507769811300,send_rep_3_p_4_s_01000001011001000110000101101101
1705346508396370200,send_rep_3_p_4_s_100
1705346508920192900,send_rep_3_p_4_s_111
1705346509461005900,send_rep_3_p_5_s_00100101100010010110
1705346510096447500,send_rep_3_p_5_s_01000001011001000110000101101101
1705346510742924800,send_rep_3_p_5_s_100
1705346511288432700,send_rep_3_p_5_s_111
1705346511849693600,send_rep_3_p_6_s_00100101100010010110
1705346512479913400,send_rep_3_p_6_s_01000001011001000110000101101101
1705346513114514500,send_rep_3_p_6_s_100
1705346513659732700,send_rep_3_p_6_s_111
1705346514225153200,send_rep_3_p_7_s_00100101100010010110
1705346514831179900,send_rep_3_p_7_s_01000001011001000110000101101101
1705346515433463700,send_rep_3_p_7_s_100
1705346515973583500,send_rep_3_p_7_s_111
1705346516530114300,send_rep_3_p_8_s_00100101100010010110
1705346517333514700,send_rep_3_p_8_s_01000001011001000110000101101101
1705346518251027500,send_rep_3_p_8_s_100
1705346518820682100,send_rep_3_p_8_s_111
1705346519406566100,send_rep_3_p_9_s_00100101100010010110
1705346520209160000,send_rep_3_p_9_s_01000001011001000110000101101101
1705346521130224700,send_rep_3_p_9_s_100
1705346521703623500,send_rep_3_p_9_s_111
1705346522290765600,send_rep_3_p_10_s_00100101100010010110
1705346522912939600,send_rep_3_p_10_s_01000001011001000110000101101101
1705346523548102100,send_rep_3_p_10_s_100
1705346524083497600,send_rep_3_p_10_s_111
1705346524636676600,send_rep_3_p_11_s_00100101100010010110
1705346525231202600,send_rep_3_p_11_s_01000001011001000110000101101101
1705346525812519000,send_rep_3_p_11_s_100
1705346526349832600,send_rep_3_p_11_s_111
1705346526905787900,send_rep_3_p_12_s_00100101100010010110
1705346527513327800,send_rep_3_p_12_s_01000001011001000110000101101101
1705346528115223200,send_rep_3_p_12_s_100
1705346528659318900,send_rep_3_p_12_s_111
1705346529224049100,send_rep_3_p_13_s_00100101100010010110
1705346529753159700,send_rep_3_p_13_s_01000001011001000110000101101101
1705346530253046700,send_rep_3_p_13_s_100
1705346530756175800,send_rep_3_p_13_s_111
1705346531276750000,send_rep_3_p_14_s_00100101100010010110
1705346531821530300,send_rep_3_p_14_s_01000001011001000110000101101101
1705346532345479000,send_rep_3_p_14_s_100
1705346532854057000,send_rep_3_p_14_s_111
1705346533378305300,send_rep_3_p_15_s_00100101100010010110
1705346533923142500,send_rep_3_p_15_s_01000001011001000110000101101101
1705346534447751600,send_rep_3_p_15_s_100
1705346534959450800,send_rep_3_p_15_s_111
1705346535483385100,send_rep_3_p_16_s_00100101100010010110
1705346536065624300,send_rep_3_p_16_s_01000001011001000110000101101101
1705346536638813800,send_rep_3_p_16_s_100
1705346537154976500,send_rep_3_p_16_s_111
1705346537687776400,send_rep_3_p_17_s_00100101100010010110
1705346538235966200,send_rep_3_p_17_s_01000001011001000110000101101101
1705346538760369200,send_rep_3_p_17_s_100
1705346539268340800,send_rep_3_p_17_s_111
1705346539796556600,send_rep_3_p_18_s_00100101100010010110
1705346540378339100,send_rep_3_p_18_s_01000001011001000110000101101101
1705346540952841800,send_rep_3_p_18_s_100
1705346541467879900,send_rep_3_p_18_s_111
1705346542000375700,send_rep_3_p_19_s_00100101100010010110
1705346542532492300,send_rep_3_p_19_s_01000001011001000110000101101101
1705346543028493200,send_rep_3_p_19_s_100
1705346543532493900,send_rep_3_p_19_s_111
1705346544057163300,send_rep_3_p_20_s_00100101100010010110
1705346544601051700,send_rep_3_p_20_s_01000001011001000110000101101101
1705346545125697400,send_rep_3_p_20_s_100
1705346545629518600,send_rep_3_p_20_s_111
1705346546153692700,send_rep_3_p_21_s_00100101100010010110
1705346546703309500,send_rep_3_p_21_s_01000001011001000110000101101101
1705346547227440200,send_rep_3_p_21_s_100
1705346547734965600,send_rep_3_p_21_s_111
1705346548258970900,send_rep_3_p_22_s_00100101100010010110
1705346548840703100,send_rep_3_p_22_s_01000001011001000110000101101101
1705346549418533900,send_rep_3_p_22_s_100
1705346549934534800,send_rep_3_p_22_s_111
1705346550467268500,send_rep_3_p_23_s_00100101100010010110
1705346551016368700,send_rep_3_p_23_s_01000001011001000110000101101101
1705346551540809600,send_rep_3_p_23_s_100
1705346552048495800,send_rep_3_p_23_s_111
1705346552572713700,send_rep_3_p_24_s_00100101100010010110
1705346553154565200,send_rep_3_p_24_s_01000001011001000110000101101101
1705346553731293700,send_rep_3_p_24_s_100
1705346554248128800,send_rep_3_p_24_s_111
1705346554780686000,send_rep_3_p_25_s_00100101100010010110
1705346555333473700,send_rep_3_p_25_s_01000001011001000110000101101101
1705346555861946200,send_rep_3_p_25_s_100
1705346556377704100,send_rep_3_p_25_s_111
1705346556906385100,send_rep_3_p_26_s_00100101100010010110
1705346557499862800,send_rep_3_p_26_s_01000001011001000110000101101101
1705346558085916000,send_rep_3_p_26_s_100
1705346558610462500,send_rep_3_p_26_s_111
1705346559155354400,send_rep_4_p_1_s_00100101100010010110
1705346559826506200,send_rep_4_p_1_s_01000001011001000110000101101101
1705346560527503100,send_rep_4_p_1_s_100
1705346561088899800,send_rep_4_p_1_s_111
1705346561670107200,send_rep_4_p_2_s_00100101100010010110
1705346562370900900,send_rep_4_p_2_s_01000001011001000110000101101101
1705346563123929600,send_rep_4_p_2_s_100
1705346563677715200,send_rep_4_p_2_s_111
1705346564246694600,send_rep_4_p_3_s_00100101100010010110
1705346564922805200,send_rep_4_p_3_s_01000001011001000110000101101101
1705346565630968300,send_rep_4_p_3_s_100
1705346566192538100,send_rep_4_p_3_s_111
1705346566769974900,send_rep_4_p_4_s_00100101100010010110
1705346567416937000,send_rep_4_p_4_s_01000001011001000110000101101101
1705346568097465100,send_rep_4_p_4_s_100
1705346568625466000,send_rep_4_p_4_s_111
1705346569174635000,send_rep_4_p_5_s_00100101100010010110
1705346569850290000,send_rep_4_p_5_s_01000001011001000110000101101101
1705346570559154600,send_rep_4_p_5_s_100
1705346571116235000,send_rep_4_p_5_s_111
1705346571693396800,send_rep_4_p_6_s_00100101100010010110
1705346572361087800,send_rep_4_p_6_s_01000001011001000110000101101101
1705346573049038400,send_rep_4_p_6_s_100
1705346573610133400,send_rep_4_p_6_s_111
1705346574188126200,send_rep_4_p_7_s_00100101100010010110
1705346574826892900,send_rep_4_p_7_s_01000001011001000110000101101101
1705346575474162700,send_rep_4_p_7_s_100
1705346576027009800,send_rep_4_p_7_s_111
1705346576596712600,send_rep_4_p_8_s_00100101100010010110
1705346577497560200,send_rep_4_p_8_s_01000001011001000110000101101101
1705346578562657800,send_rep_4_p_8_s_100
1705346579156325100,send_rep_4_p_8_s_111
1705346579763140600,send_rep_4_p_9_s_00100101100010010110
1705346580667928800,send_rep_4_p_9_s_01000001011001000110000101101101
1705346581736760000,send_rep_4_p_9_s_100
1705346582330951700,send_rep_4_p_9_s_111
1705346582942051800,send_rep_4_p_10_s_00100101100010010110
1705346583600820700,send_rep_4_p_10_s_01000001011001000110000101101101
1705346584293643200,send_rep_4_p_10_s_100
1705346584837737600,send_rep_4_p_10_s_111
1705346585403054200,send_rep_4_p_11_s_00100101100010010110
1705346586021937200,send_rep_4_p_11_s_01000001011001000110000101101101
1705346586640251800,send_rep_4_p_11_s_100
1705346587193468100,send_rep_4_p_11_s_111
1705346587762830900,send_rep_4_p_12_s_00100101100010010110
1705346588401814600,send_rep_4_p_12_s_01000001011001000110000101101101
1705346589044951900,send_rep_4_p_12_s_100
1705346589606163200,send_rep_4_p_12_s_111
1705346590183026600,send_rep_4_p_13_s_00100101100010010110
1705346590719970100,send_rep_4_p_13_s_01000001011001000110000101101101
1705346591227482900,send_rep_4_p_13_s_100
1705346591731880000,send_rep_4_p_13_s_111
1705346592252376100,send_rep_4_p_14_s_00100101100010010110
1705346592812884600,send_rep_4_p_14_s_01000001011001000110000101101101
1705346593350202600,send_rep_4_p_14_s_100
1705346593862054100,send_rep_4_p_14_s_111
1705346594386378500,send_rep_4_p_15_s_00100101100010010110
1705346594946958200,send_rep_4_p_15_s_01000001011001000110000101101101
1705346595487791200,send_rep_4_p_15_s_100
1705346595999973500,send_rep_4_p_15_s_111
1705346596528080600,send_rep_4_p_16_s_00100101100010010110
1705346597130080000,send_rep_4_p_16_s_01000001011001000110000101101101
1705346597740600100,send_rep_4_p_16_s_100
1705346598260637100,send_rep_4_p_16_s_111
1705346598801268700,send_rep_4_p_17_s_00100101100010010110
1705346599362912600,send_rep_4_p_17_s_01000001011001000110000101101101
1705346599903935700,send_rep_4_p_17_s_100
1705346600415938400,send_rep_4_p_17_s_111
1705346600943523400,send_rep_4_p_18_s_00100101100010010110
1705346601546640800,send_rep_4_p_18_s_01000001011001000110000101101101
1705346602156352600,send_rep_4_p_18_s_100
1705346602676304600,send_rep_4_p_18_s_111
1705346603217769100,send_rep_4_p_19_s_00100101100010010110
1705346603753995600,send_rep_4_p_19_s_01000001011001000110000101101101
1705346604257671000,send_rep_4_p_19_s_100
1705346604766061700,send_rep_4_p_19_s_111
1705346605286062600,send_rep_4_p_20_s_00100101100010010110
1705346605843035300,send_rep_4_p_20_s_01000001011001000110000101101101
1705346606383476700,send_rep_4_p_20_s_100
1705346606891141800,send_rep_4_p_20_s_111
1705346607420195400,send_rep_4_p_21_s_00100101100010010110
1705346607977201900,send_rep_4_p_21_s_01000001011001000110000101101101
1705346608521410600,send_rep_4_p_21_s_100
1705346609034293700,send_rep_4_p_21_s_111
1705346609562027800,send_rep_4_p_22_s_00100101100010010110
1705346610163963900,send_rep_4_p_22_s_01000001011001000110000101101101
1705346610774518100,send_rep_4_p_22_s_100
1705346611295394900,send_rep_4_p_22_s_111
1705346611835043000,send_rep_4_p_23_s_00100101100010010110
1705346612393047200,send_rep_4_p_23_s_01000001011001000110000101101101
1705346612937584800,send_rep_4_p_23_s_100
1705346613444934400,send_rep_4_p_23_s_111
1705346613974347400,send_rep_4_p_24_s_00100101100010010110
1705346614580090800,send_rep_4_p_24_s_01000001011001000110000101101101
1705346615190088200,send_rep_4_p_24_s_100
1705346615710330700,send_rep_4_p_24_s_111
1705346616246902600,send_rep_4_p_25_s_00100101100010010110
1705346616816606200,send_rep_4_p_25_s_01000001011001000110000101101101
1705346617365442900,send_rep_4_p_25_s_100
1705346617881206400,send_rep_4_p_25_s_111
1705346618418785500,send_rep_4_p_26_s_00100101100010010110
1705346619036807400,send_rep_4_p_26_s_01000001011001000110000101101101
1705346619659610300,send_rep_4_p_26_s_100
1705346620196142800,send_rep_4_p_26_s_111
1705346620748413400,send_rep_5_p_1_s_00100101100010010110
1705346621461361700,send_rep_5_p_1_s_01000001011001000110000101101101
1705346622215294500,send_rep_5_p_1_s_100
1705346622792572200,send_rep_5_p_1_s_111
1705346623390854600,send_rep_5_p_2_s_00100101100010010110
1705346624136339800,send_rep_5_p_2_s_01000001011001000110000101101101
1705346624964176600,send_rep_5_p_2_s_100
1705346625528607500,send_rep_5_p_2_s_111
1705346626110721800,send_rep_5_p_3_s_00100101100010010110
1705346626831464800,send_rep_5_p_3_s_01000001011001000110000101101101
1705346627597839500,send_rep_5_p_3_s_100
1705346628171111400,send_rep_5_p_3_s_111
1705346628761072600,send_rep_5_p_4_s_00100101100010010110
1705346629445411000,send_rep_5_p_4_s_01000001011001000110000101101101
1705346630178119800,send_rep_5_p_4_s_100
1705346630715138600,send_rep_5_p_4_s_111
1705346631267676500,send_rep_5_p_5_s_00100101100010010110
1705346631985429600,send_rep_5_p_5_s_01000001011001000110000101101101
1705346632750994600,send_rep_5_p_5_s_100
1705346633323516900,send_rep_5_p_5_s_111
1705346633917557500,send_rep_5_p_6_s_00100101100010010110
1705346634622833400,send_rep_5_p_6_s_01000001011001000110000101101101
1705346635367876700,send_rep_5_p_6_s_100
1705346635945101300,send_rep_5_p_6_s_111
1705346636535899100,send_rep_5_p_7_s_00100101100010010110
1705346637207106500,send_rep_5_p_7_s_01000001011001000110000101101101
1705346637899653900,send_rep_5_p_7_s_100
1705346638464489900,send_rep_5_p_7_s_111
1705346639046744200,send_rep_5_p_8_s_00100101100010010110
